"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] BookTitleComparatorLevenshtein record1Value","[0] BookTitleComparatorLevenshtein record2Value","[0] BookTitleComparatorLevenshtein record1PreprocessedValue","[0] BookTitleComparatorLevenshtein record2PreprocessedValue","[0] BookTitleComparatorLevenshtein similarity","[0] BookTitleComparatorLevenshtein postproccesedSimilarity","[1] BookAuthorComparatorMongeElkan record1Value","[1] BookAuthorComparatorMongeElkan record2Value","[1] BookAuthorComparatorMongeElkan record1PreprocessedValue","[1] BookAuthorComparatorMongeElkan record2PreprocessedValue","[1] BookAuthorComparatorMongeElkan similarity","[1] BookAuthorComparatorMongeElkan postproccesedSimilarity"
"LinearCombinationMatchingRule","Amazon_6664","Covers_4242","0.13636363636363638",,"The Sweetapolita Bakebook","The Sword and the Lion (Daw Book Collectors)","The Sweetapolita Bakebook","The Sword and the Lion (Daw Book Collectors)","0.34090909090909094","0.34090909090909094","Rosie Alyea","Roberta Cray","Rosie Alyea","Roberta Cray","0.18181818181818182","0.0"
"LinearCombinationMatchingRule","Amazon_9285","Covers_878","0.0",,"The Ladybird Book of the Hangover","The Last of the Mohicans (Bantam Classics)","The Ladybird Book of the Hangover","The Last of the Mohicans (Bantam Classics)","0.2857142857142857","0.0","Jason Hazeley","James Fenimore Cooper","Jason Hazeley","James Fenimore Cooper","0.2","0.0"
"LinearCombinationMatchingRule","Amazon_22311","Covers_39883","0.3",,"All the Buildings in New York","All the Wrong Places: Adrift in the Politics of the Pacific Rim (Traveler)","All the Buildings in New York","All the Wrong Places: Adrift in the Politics of the Pacific Rim (Traveler)","0.2432432432432432","0.0","James Gulliver Hancock","James Fenton","James Gulliver Hancock","James Fenton","0.5","0.5"
"LinearCombinationMatchingRule","Amazon_7249","Covers_36555","0.0",,"The Godfather","The Good Cook's Book of Italian Cooking","The Godfather","The Good Cook's Book of Italian Cooking","0.23076923076923073","0.0","Mario Puzo","Mary Reynolds","Mario Puzo","Mary Reynolds","0.3","0.0"
"LinearCombinationMatchingRule","Amazon_15065","Covers_3357","0.6",,"Harry Potter and the Philosopher's Stone - Hufflepuff Edition","Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry","Harry Potter and the Philosopher's Stone - Hufflepuff Edition","Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry","0.2894736842105263","0.0","J. K. Rowling","J. K. Rowling","J. K. Rowling","J. K. Rowling","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_3044","Covers_37585","0.27692307692307694",,"James Acaster's Classic Scrapes - The Hilarious Sunday Times Bestseller","James Herriot's Yorkshire","James Acaster's Classic Scrapes - The Hilarious Sunday Times Bestseller","James Herriot's Yorkshire","0.22535211267605637","0.0","James Acaster","James Herriot","James Acaster","James Herriot","0.46153846153846156","0.46153846153846156"
"LinearCombinationMatchingRule","Amazon_6799","Covers_27159","0.13636363636363638",,"The Language of Flowers Coloring Book","The Lady and the Tiger (Ace Science Fiction)","The Language of Flowers Coloring Book","The Lady and the Tiger (Ace Science Fiction)","0.34090909090909094","0.34090909090909094","John Green","Jody Lynn Nye","John Green","Jody Lynn Nye","0.2","0.0"
"LinearCombinationMatchingRule","Amazon_20912","Covers_19645","0.7875",,"Treasure Island","Treasure Island (Signet Classic)","Treasure Island","Treasure Island (Signet Classic)","0.46875","0.46875","Robert Louis Stevenson","Robert Louis Stevenson","Robert Louis Stevenson","Robert Louis Stevenson","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_15189","Covers_21618","0.7714285714285715",,"The Tempest: The Oxford Shakespeare","The Tempest (Bantam Classics)","The Tempest: The Oxford Shakespeare","The Tempest (Bantam Classics)","0.4285714285714286","0.4285714285714286","William Shakespeare","William Shakespeare","William Shakespeare","William Shakespeare","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_1077","Covers_44332","0.0",,"The Ordnance Survey Puzzle Book","The Ordeal of Integration: Progress and Resentment in America's \Racial\"" Crisis (Ordeal of Integration)""","The Ordnance Survey Puzzle Book","The Ordeal of Integration: Progress and Resentment in America's \Racial\"" Crisis (Ordeal of Integration)""","0.18095238095238098","0.0","Ordnance Survey","Orlando Patterson","Ordnance Survey","Orlando Patterson","0.22666666666666666","0.0"
"LinearCombinationMatchingRule","Amazon_13276","Covers_22274","0.0",,"The Complete Peanuts 1955-1956","The Corporate Negaholic: How to Deal Successfully With Negative Colleagues, Managers and Corporations","The Complete Peanuts 1955-1956","The Corporate Negaholic: How to Deal Successfully With Negative Colleagues, Managers and Corporations","0.16831683168316836","0.0","Charles M. Schulz","Cherie Carter-Scott","Charles M. Schulz","Cherie Carter-Scott","0.23529411764705882","0.0"
"LinearCombinationMatchingRule","Amazon_7468","Covers_36902","0.16842105263157894",,"The Marching Season","The Magician's Tale","The Marching Season","The Magician's Tale","0.42105263157894735","0.42105263157894735","Daniel Silva","David Hunt","Daniel Silva","David Hunt","0.24","0.0"
"LinearCombinationMatchingRule","Amazon_20458","Covers_31279","0.4914285714285714",,"How to Change Your Mind","How to Buy a House, Condo, or Co-Op","How to Change Your Mind","How to Buy a House, Condo, or Co-Op","0.37142857142857144","0.37142857142857144","Michael Pollan","Michael C. Thomsett","Michael Pollan","Michael C. Thomsett","0.5714285714285714","0.5714285714285714"
"LinearCombinationMatchingRule","Amazon_12223","Covers_21544","0.144",,"The Beauty Chef Gut Guide","The Beckoning Ghost","The Beauty Chef Gut Guide","The Beckoning Ghost","0.36","0.36","Carla Oates","Catherine Kohman","Carla Oates","Catherine Kohman","0.18181818181818182","0.0"
"LinearCombinationMatchingRule","Amazon_16069","Covers_44712","0.13333333333333336",,"How to Write a Better Thesis","How to Make Yourself Miserable","How to Write a Better Thesis","How to Make Yourself Miserable","0.33333333333333337","0.33333333333333337","David Evans","Dan Greenburg","David Evans","Dan Greenburg","0.18181818181818182","0.0"
"LinearCombinationMatchingRule","Amazon_22114","Covers_20402","0.0",,"The Complete Book of Classic Dodge and Plymouth Muscle","The Computer Caper","The Complete Book of Classic Dodge and Plymouth Muscle","The Computer Caper","0.2592592592592593","0.0","Mike Mueller","Milton Dank","Mike Mueller","Milton Dank","0.18181818181818182","0.0"
"LinearCombinationMatchingRule","Amazon_11957","Covers_18544","0.4",,"The Japanese Mind","The Japanese Mind","The Japanese Mind","The Japanese Mind","1.0","1.0","Roger J. Davies","Robert Christopher","Roger J. Davies","Robert Christopher","0.22666666666666666","0.0"
"LinearCombinationMatchingRule","Amazon_3177","Covers_47687","0.0",,"How to Fail","How to Get Your Kid to Eat but Not Too Much","How to Fail","How to Get Your Kid to Eat but Not Too Much","0.18604651162790697","0.0","Elizabeth Day","Ellyn Satter","Elizabeth Day","Ellyn Satter","0.16666666666666666","0.0"
"LinearCombinationMatchingRule","Amazon_21140","Covers_26488","0.7307692307692307",,"The Secret Garden","The Secret Garden (Dover Children's Thrift Classics)","The Secret Garden","The Secret Garden (Dover Children's Thrift Classics)","0.32692307692307687","0.32692307692307687","Frances Hodgson Burnett","Frances Hodgson Burnett","Frances Hodgson Burnett","Frances Hodgson Burnett","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_323","Covers_35920","0.296",,"The Maudsley Prescribing Guidelines in Psychiatry","The Magic of Getting What You Want","The Maudsley Prescribing Guidelines in Psychiatry","The Magic of Getting What You Want","0.2857142857142857","0.0","David M. Taylor","David J. Schwartz","David M. Taylor","David J. Schwartz","0.49333333333333335","0.49333333333333335"
"LinearCombinationMatchingRule","Amazon_4089","Covers_32111","0.0",,"How To Develop A Brilliant Memory Week By Week","How To Start A Conversation And Make Friends","How To Develop A Brilliant Memory Week By Week","How To Start A Conversation And Make Friends","0.28260869565217395","0.0","Dominic O'Brien","Don Gabor","Dominic O'Brien","Don Gabor","0.28888888888888886","0.0"
"LinearCombinationMatchingRule","Amazon_18061","Covers_39433","0.44173913043478263",,"Black Leopard, Red Wolf","Black Trillium","Black Leopard, Red Wolf","Black Trillium","0.30434782608695654","0.30434782608695654","Marlon James","Marion Zimmer Bradley","Marlon James","Marion Zimmer Bradley","0.5333333333333333","0.5333333333333333"
"LinearCombinationMatchingRule","Amazon_10988","Covers_45825","0.0",,"How To Talk So Little Kids Will Listen","How To Prepare And Present A Business Plan","How To Talk So Little Kids Will Listen","How To Prepare And Present A Business Plan","0.2857142857142857","0.0","Joanna Faber","Joseph R. Mancuso","Joanna Faber","Joseph R. Mancuso","0.16666666666666666","0.0"
"LinearCombinationMatchingRule","Amazon_1216","Covers_11065","0.8117647058823529",,"Curious George and the Firefighters","Curious George at the Fire Station (Curious George)","Curious George and the Firefighters","Curious George at the Fire Station (Curious George)","0.5294117647058824","0.5294117647058824","Margret Rey","Margret Rey","Margret Rey","Margret Rey","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_17571","Covers_25217","0.9111111111111111",,"Fear of Flying","Fear of Flying (R)","Fear of Flying","Fear of Flying (R)","0.7777777777777778","0.7777777777777778","Erica Jong","Erica Jong","Erica Jong","Erica Jong","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_9836","Covers_23306","0.6314285714285715",,"American Sour Beers","American Whiskey Bar","American Sour Beers","American Whiskey Bar","0.55","0.55","Michael Tonsmeire","Michael Turner","Michael Tonsmeire","Michael Turner","0.6857142857142857","0.6857142857142857"
"LinearCombinationMatchingRule","Amazon_5656","Covers_17813","0.2571428571428571",,"The Ultimate Roblox Book: An Unofficial Guide","The Ultimate French Review and Practice: Mastering French Grammar for Confident Communication","The Ultimate Roblox Book: An Unofficial Guide","The Ultimate French Review and Practice: Mastering French Grammar for Confident Communication","0.29032258064516125","0.0","David Jagneaux","David M. Stillman","David Jagneaux","David M. Stillman","0.42857142857142855","0.42857142857142855"
"LinearCombinationMatchingRule","Amazon_20823","Covers_18434","0.0",,"The Mortal Instruments 2: City of Ashes","The Moroccan","The Mortal Instruments 2: City of Ashes","The Moroccan","0.23076923076923073","0.0","Cassandra Clare","C. A Haddad","Cassandra Clare","C. A Haddad","0.18181818181818182","0.0"
"LinearCombinationMatchingRule","Amazon_13942","Covers_3286","0.5347692307692309",,"The Four Agreements Cards","The Four Agreements","The Four Agreements Cards","The Four Agreements","0.76","0.76","Don Jose Ruiz","Don Miguel Ruiz","Don Jose Ruiz","Don Miguel Ruiz","0.38461538461538464","0.38461538461538464"
"LinearCombinationMatchingRule","Amazon_21522","Covers_3177","0.2533333333333333",,"How to Overcome Fear of Driving","How to Keep Your Volkswagen Alive 19 Ed: A Manual of Step-by-Step Procedures for the Compleat Idiot","How to Overcome Fear of Driving","How to Keep Your Volkswagen Alive 19 Ed: A Manual of Step-by-Step Procedures for the Compleat Idiot","0.2222222222222222","0.0","Joanne Mallon","John Muir","Joanne Mallon","John Muir","0.4222222222222222","0.4222222222222222"
"LinearCombinationMatchingRule","Amazon_11012","Covers_39634","0.3952941176470588",,"The No-Cry Sleep Solution: Gentle Ways to Help Your Baby Sleep Through the Night","The Normandie Affair","The No-Cry Sleep Solution: Gentle Ways to Help Your Baby Sleep Through the Night","The Normandie Affair","0.16249999999999998","0.0","Elizabeth Pantley","Elizabeth Villars","Elizabeth Pantley","Elizabeth Villars","0.6588235294117647","0.6588235294117647"
"LinearCombinationMatchingRule","Amazon_13101","Covers_31785","0.0",,"The Ladybird Book of Boxing Day","The Last of the Mohicans (Wordsworth Classics)","The Ladybird Book of Boxing Day","The Last of the Mohicans (Wordsworth Classics)","0.26086956521739135","0.0","Jason Hazeley","James Fenimore Cooper","Jason Hazeley","James Fenimore Cooper","0.2","0.0"
"LinearCombinationMatchingRule","Amazon_10812","Covers_22235","0.8888888888888888",,"Sailor Moon Vol. 6","Sailor Moon 6","Sailor Moon Vol. 6","Sailor Moon 6","0.7222222222222222","0.7222222222222222","Naoko Takeuchi","Naoko Takeuchi","Naoko Takeuchi","Naoko Takeuchi","1.0","1.0"
"LinearCombinationMatchingRule","Amazon_16798","Covers_28262","0.12799999999999997",,"The Heart of Christianity","The Hepatitis C Handbook","The Heart of Christianity","The Hepatitis C Handbook","0.31999999999999995","0.31999999999999995","Marcus J. Borg","Matthew Dolan","Marcus J. Borg","Matthew Dolan","0.15384615384615385","0.0"
"LinearCombinationMatchingRule","Amazon_4676","Covers_373","0.6",,"Holes","Holes (Yearling Newbery)","Holes","Holes (Yearling Newbery)","0.20833333333333337","0.0","Louis Sachar","LOUIS SACHAR","Louis Sachar","LOUIS SACHAR","1.0","1.0"
